identifiant,L'Express,Télérama,Brazil,Les Fiches du Cinéma,Les Inrockuptibles,Le Figaroscope,Cahiers du Cinéma,Le Point,Bande à part,Le Monde,20 Minutes,Télé Z,Ciné Live,So Film,La Septième Obsession,Le Quotidien de Paris,Chicago Sun-Times,Elle,BIBA,Télé Loisirs,Les Echos,Le Journal du Geek,Sud Ouest,Marianne,GQ,Metro,Le Figaro,Marie Claire,La Voix du Nord,Franceinfo Culture,Time Out Paris,France Soir,Obejctif-Cinema.com,La Tribune,Femme Actuelle,L'Obs,Gala,Télé Câble Sat,Ouest France,Abus de Ciné,L'Aurore,Positif,Impact,Konbini,TéléCinéObs,Mad Movies,Chronic'art.com,Critikat.com,Paris Match,La Croix,TF1 News,Télé 7 Jours,Rolling Stone,IGN France,Télé 2 semaines,Dvdrama,Le Parisien,Aden,L'Humanité,Courrier International,Closer,CinemaTeaser,Le Dauphiné Libéré,Filmsactu,Excessif,Charlie Hebdo,Ecran Large,Le Journal du Dimanche,VSD,Fantastikindia,Public,Première,LCI,Transfuge,Téléstar,CNews,Libération,Slate,Voici,Studio Magazine,Studio Ciné Live,Dernières Nouvelles d'Alsace,Le Soir,L'Ecran Fantastique,Culturopoing.com,aVoir-aLire.com
188841,,Très mauvais,,Pas terrible,Très mauvais,,,,,Pas terrible,,,,,,,,Pas terrible,,,,,,Très mauvais,,Pas mal,,,,,,,,,,Très mauvais,,,,,,,,,Pas mal,,,Pas terrible,,Très mauvais,,,,,,,Très mauvais,,,,,Très mauvais,,,Pas terrible,,Pas terrible,,,,,Très mauvais,,,,,,,,,Pas terrible,,,,,
191300,Très bien,Pas mal,,Très bien,Très mauvais,Pas mal,,,,Pas terrible,,,,,,,,Très bien,,,,,,,,,,,,,,,,,,,,,Pas mal,,,Pas mal,,,Pas mal,Très bien,,,Pas mal,,Pas terrible,Très bien,,,,,Très bien,,Très mauvais,,,Très bien,,,,,Pas mal,,,,,Très mauvais,,,,,Pas terrible,,,,Très bien,,,,,Pas mal
190411,Pas terrible,Chef-d'oeuvre,,Chef-d'oeuvre,Chef-d'oeuvre,,Pas terrible,,,Chef-d'oeuvre,Chef-d'oeuvre,,,,,,,,,,,,,Très bien,,Pas mal,,,,,,,,,,Très bien,,,Très bien,,,,,,Très bien,,Très mauvais,Pas mal,Très bien,Très bien,Pas terrible,,,,,,Très bien,,Très bien,,,,,,,,,Très bien,,,,Très bien,,Très bien,,,Très bien,,,,Très bien,,,,,
189091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201045,Pas mal,Pas mal,,Très bien,Très bien,,Pas terrible,,,Chef-d'oeuvre,Très bien,,,,,,,,,,,,,Chef-d'oeuvre,,Chef-d'oeuvre,,,,,,,,,,Chef-d'oeuvre,,,Très bien,,,Chef-d'oeuvre,,,Chef-d'oeuvre,,,Pas terrible,,Pas mal,,Chef-d'oeuvre,,,,,Pas mal,,Très bien,,,,,,,,,,,,,Très bien,,Très bien,,,Très bien,,,,Très bien,,,,,
192221,,Pas mal,,Pas terrible,,,,,,Pas terrible,,,,,,,,,,,,,,,,Très mauvais,,,,,,,,,,,,,Très mauvais,,,,,,,,,,,,,Pas mal,,,,,,,Pas terrible,,,Pas terrible,,,,,,,,,,Pas terrible,,,,,,,,,Pas terrible,,,,,
209130,,Très mauvais,,Pas mal,,,,,,Pas mal,,,,,,,,,,,,,,Chef-d'oeuvre,,,,,,,,,,,,,,,Pas mal,,,Chef-d'oeuvre,,,Pas mal,,,Très mauvais,,Pas mal,,Très bien,,,,,Pas mal,,,,,,,,,,,,,,,Très mauvais,,,,,,,,,Pas mal,,,,,Très mauvais
196577,,Pas mal,,Pas terrible,,,,Très mauvais,,Pas terrible,,,,,,,,Très mauvais,,,,,,,,Très bien,,,,,,,,,,,,,Très mauvais,,,,,,Pas mal,,,Très mauvais,,,,,,,,,Très bien,,,,,,,Très bien,,,,Pas terrible,,,,Très mauvais,,,,,Pas terrible,,,,Pas terrible,,,,,
204033,Très bien,Très bien,,Très bien,Chef-d'oeuvre,Très bien,Pas terrible,,,Chef-d'oeuvre,Chef-d'oeuvre,,,,,,,Très bien,,,,,,Chef-d'oeuvre,,Chef-d'oeuvre,,,,,,,,,,Chef-d'oeuvre,,,,,,,,,Pas terrible,,,Très mauvais,Pas mal,Très bien,Pas mal,,,,,,,,Chef-d'oeuvre,,,,,,,,Très bien,Très bien,,,,Très bien,,Chef-d'oeuvre,,,Très mauvais,,,,Très bien,,,,,
205972,Pas mal,Pas mal,,Pas terrible,,,,,,Pas mal,,,,,,,,,,,,,,,,Pas mal,,,,,,,,,,,,,,,,,,,Très bien,,,Pas terrible,,Pas terrible,,Pas mal,,,,,Très mauvais,,,,,,,,,,Très bien,Pas terrible,,,,Très bien,,,,,,,,,Pas terrible,,,,,
180578,Très bien,Très mauvais,,Très bien,,,,,,Pas mal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pas terrible,,,Très bien,,,Très bien,Très bien,,,,,Chef-d'oeuvre,,Très bien,,,Très bien,,,,,Pas terrible,,,,,Très bien,,,,,,,,,Pas mal,,,,,
198460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108704,,Pas mal,,Pas terrible,Pas terrible,,,,,Pas mal,,,,,,,,,,,,,,Très bien,,,,,,,,,,,,,,,,,,,,,Pas mal,,,Très mauvais,,Pas mal,,,,,,,,,Pas mal,,,,,,,,,,,,,Pas mal,,,,,,,,,Pas mal,,,,,Très bien
194479,Pas terrible,Très mauvais,,Pas mal,Très mauvais,,Très mauvais,Pas terrible,,Pas terrible,,,,,,,,,,,,,,Pas terrible,,Pas mal,,,,,,,,,,,,,,,,Pas terrible,,,Pas terrible,,,,,Très mauvais,,,,,,,Pas terrible,,,,,,,,,,Pas mal,,,,,,,,,,,,,,Pas terrible,,,,,
178188,Très bien,Très bien,,Pas mal,Chef-d'oeuvre,Très bien,Très mauvais,Très bien,,Pas terrible,Pas mal,,,,,,,,,,,,,Pas mal,,Chef-d'oeuvre,,,,,,,,,,,,,Pas mal,,,Très bien,,,Très bien,,,Pas mal,Chef-d'oeuvre,,,,,,,,Très bien,,Pas terrible,,,Pas mal,,Pas mal,Pas mal,,Très bien,Très bien,,,,Très bien,,,,,Pas mal,,,,Très mauvais,,,,,
198073,,Pas mal,,Pas mal,Pas terrible,,,,,Très bien,,,,,,,,Pas mal,,,,,,,,,,,,,,,,,,,,,,,,Pas mal,,,,Très bien,,,Très bien,,Pas mal,,,,,,,,Très bien,,,Très bien,,,,Très bien,Pas mal,Pas mal,,,,Pas mal,,,,,Très bien,,,,Pas mal,,,,,
218629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191788,Pas terrible,Pas mal,,,Très bien,Très bien,Pas mal,,,Très bien,,,,,,,,Très bien,,,,,,,,,,,,,,,,,,Très bien,,,,,,Très bien,,,Pas mal,,,Pas mal,Pas mal,Pas terrible,Très mauvais,,,,,,,,Très bien,,,,,,,Chef-d'oeuvre,Pas terrible,,,,,Pas mal,,,,,Pas mal,,,,Pas mal,,,,,Chef-d'oeuvre
192315,,Pas terrible,,Pas mal,,,,,,Très bien,,,,,,,,,,,,,,,,Pas terrible,,,,,,,,,,,,,,,,,,,Pas terrible,,,,,,,,,,,,Pas mal,,,,,,,,Très bien,,Pas mal,Pas terrible,,,,Pas mal,,,,,,,,,Pas mal,,,,,
193422,,Très bien,,Pas terrible,Très mauvais,Très mauvais,,,,Très bien,,,,,,,,Très mauvais,,,,,,,,,,,,,,,,,,,,,Très mauvais,,,Très mauvais,,,Très mauvais,,Très mauvais,Pas mal,,,Pas terrible,Pas terrible,,,,,Très bien,,Très mauvais,,,Pas mal,,,,,Très bien,Pas terrible,,,,Très bien,,,,,,,,,Pas terrible,,,,,
210106,,Pas mal,,Pas mal,,,,,,Pas mal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pas terrible,,,Pas terrible,,,,,Pas mal,,,,,,,,,,,,,,,,,Pas mal,Pas mal,,,,Pas terrible,,,,,,,,,Pas terrible,,,,,
195034,,Très mauvais,,Pas terrible,Très mauvais,,,,,,Très bien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Très mauvais,,,,,,,,,,,,,,Pas mal,,,Pas terrible,,,,,,Pas terrible,,,,Pas terrible,,,,,Très mauvais,,,,,,,,,
204140,Pas terrible,Pas mal,,Pas mal,Pas mal,Pas mal,,,,Très bien,,,,,,,,,,,,,,Pas terrible,,,,,,,,,,,,,,,,,,Pas terrible,,,Très bien,,,Très mauvais,,,,,,,,,Très bien,,Pas mal,,,,,,,,Pas terrible,Très bien,,,,Pas mal,,,,,Très bien,,,,Pas mal,,,,,
191532,,Pas mal,,Pas mal,Très mauvais,,Très mauvais,,,Pas mal,Pas mal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pas terrible,,,,,,Chef-d'oeuvre,Très mauvais,,Très bien,,,,,,,,Pas mal,,,,,,,,,,,,,Très mauvais,,,,,Pas terrible,,,,Pas terrible,,,,,Très bien
206428,Chef-d'oeuvre,Pas mal,,Pas mal,Très bien,,Très bien,,,Pas terrible,Pas mal,,,,,,,Pas mal,,,,,,,,Pas terrible,,,,,,,,,,,,,,,,,,,Très bien,,,Très bien,Très mauvais,Pas mal,Pas mal,,,,,,,,Très bien,,,,,,,,Pas terrible,,,,,Pas mal,,Chef-d'oeuvre,,,Très bien,,,,Très bien,,,,,Pas mal
206293,,Pas mal,,Très bien,,,,,,Pas mal,Très bien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pas mal,,,Pas terrible,,,Pas terrible,,,,,,,,,,,,,,Très bien,,,,,,,,,,Pas mal,,,,,,,,,Très bien,,,,,Très bien
195967,Pas mal,Pas terrible,,Pas terrible,Très bien,Pas mal,,,,Pas mal,,,,,,,,Très bien,,,,,,,,Très bien,,,,,,,,,,,,,,,,Pas mal,,,Très bien,Très bien,,Pas terrible,,Très bien,Très bien,,,,,,Très bien,,Très bien,,,Pas mal,,,,,Très bien,Pas mal,,,,Très bien,,,,,,,,,Pas terrible,,,Très bien,,
201630,,Pas mal,,Pas terrible,Chef-d'oeuvre,,Pas mal,Très bien,,Très bien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Très bien,,,Très bien,,,Pas mal,,Pas terrible,,,,,,,Très bien,,Très bien,,,,,,,,,Pas mal,,,,Très mauvais,,,,,,,,,Pas mal,,,,,
24252,Très bien,Pas mal,,Pas mal,Très mauvais,,,Très bien,,Pas terrible,Chef-d'oeuvre,,,,,,,,,,,,,,,Très bien,,,,,,,,,,,,,Très bien,,,Très bien,,,Très bien,,,Pas mal,Pas mal,,,,,,,,Pas mal,,,,,,,,,,Très bien,Pas mal,,,,Très bien,,,,,,,,,Très bien,,,,,
206423,,Pas mal,,Pas mal,Très bien,,Pas terrible,,,Très bien,Très bien,,,,,,,,,,,,,,,Chef-d'oeuvre,,,,,,,,,,,,,,,,Chef-d'oeuvre,,,Pas terrible,,,Pas mal,Pas terrible,Très bien,Pas mal,,,,,,,,Chef-d'oeuvre,,,,,,,,Pas mal,,,,,Pas mal,,Très bien,,,,,,,Pas mal,,,,,Pas mal
220785,,Pas mal,,Pas mal,,Très bien,Très bien,,,Très bien,Très bien,,,,,,,Très bien,,,,,,,,,,,,Chef-d'oeuvre,,,,,,,,,,,,Très bien,,,Pas mal,,,Pas mal,,Pas mal,Très mauvais,,,,,,,,Très bien,,,Pas mal,,,,,,Pas mal,,,,Très bien,,Chef-d'oeuvre,,,Très bien,,,,Pas mal,,,,,Chef-d'oeuvre
199807,,Très bien,,Très bien,Très bien,Chef-d'oeuvre,Pas terrible,,,Chef-d'oeuvre,Chef-d'oeuvre,,,,,,,,,,,,,,,,,,,,,,,,,Très bien,,,,,,Chef-d'oeuvre,,,Très bien,,,Pas mal,Très bien,Très bien,Pas mal,,,,,,,,Très bien,,,Très bien,,,Pas mal,,Très bien,,,,,Très bien,,Chef-d'oeuvre,,,Très bien,,,,Très bien,,,,,
222402,Pas mal,Pas mal,,Très mauvais,,,,,,Pas mal,Très bien,,,,,,,Pas terrible,,,,,,,,Pas mal,,,,Pas mal,,,,,,,,,,,,,,,Pas mal,Pas mal,,Pas terrible,Pas mal,Pas terrible,,,,,,,Pas terrible,,Très bien,,,,,,,,,,,,,Pas terrible,,,,,Pas mal,,,,Pas mal,,,,,Pas terrible
215341,Pas terrible,Très mauvais,,Très bien,,Pas terrible,,,,Très bien,Chef-d'oeuvre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pas terrible,,,Pas mal,,,Très mauvais,,,Très mauvais,Pas terrible,,,,,Très mauvais,,,,,,,,,,Pas mal,,,,,Très mauvais,,,,,,,,,Pas mal,,,,,
201688,Très bien,Pas mal,,Pas terrible,,,Pas terrible,,,Très mauvais,Très bien,,,,,,,,,,,,,,,,,,,,,,,,,,,,Très mauvais,,,Très mauvais,,,Pas mal,,,Pas terrible,,Pas mal,Très mauvais,,,,,,Chef-d'oeuvre,,,,,,,,,,Très bien,,,,,Pas terrible,,,,,,,,,Pas mal,,,,,Pas mal
213478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185090,,Très bien,,Pas mal,Très bien,,Pas terrible,,,Très bien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Très bien,,,Pas mal,,,,,,,,,,,,,,Très bien,,,,,,,,,,,,,Très bien,,,,,Pas mal,,,,Très bien,,,,,Pas terrible
146328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188147,,Très mauvais,,Pas terrible,,Pas mal,,,,Pas terrible,,,,,,,,,,,,,,,,Pas mal,,,,,,,,,,,,,,,,Pas mal,,,Pas mal,,,Pas terrible,,Très bien,,,,,,,Pas mal,,,,,,,,,,,Pas terrible,,,,,,,,,,,,,Très mauvais,,,,,Pas mal
204241,,Pas terrible,,Pas mal,Très bien,Très bien,,,,Très bien,Chef-d'oeuvre,,,,,,,,,,,,,,,Chef-d'oeuvre,,,,,,,,,,,,,,,,Très bien,,,Pas terrible,,,Très bien,Très bien,,Très bien,,,,,,,,,,,Très bien,,,,Très bien,Pas mal,Pas mal,,,,Pas mal,,Pas mal,,,Pas mal,,,,Très bien,,,Pas terrible,,Pas mal
197427,,Pas mal,,Très bien,Très bien,Pas mal,,,,Très bien,,,,,,,,,,,,,,,,,,,,,,,,,,Pas mal,,,,,,Très bien,,,Pas terrible,,,Pas terrible,Très bien,Pas mal,,,,,,,,,,,,,,,,,,,,,,Pas mal,,Pas mal,,,,,,,Pas terrible,,,,,
189178,,Pas mal,,Très bien,,,,,,Très bien,Chef-d'oeuvre,,,,,,,,,,,,,,,Très bien,,,,,,,,,,,,,,,,,,,Très bien,,,Pas terrible,Très bien,Très bien,Pas mal,,,,,,,,,,,,,,,,,Très bien,,,,Très bien,,,,,Très bien,,,,Très bien,,,,,
206666,Pas mal,Très bien,,Très bien,Très mauvais,,Pas terrible,Très bien,,Pas mal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pas mal,,,Pas terrible,,,Pas mal,,,Pas mal,,Très bien,,,,,,,Très bien,,,,,,,,,,Très mauvais,,,,,Pas mal,,Pas mal,,,Pas mal,,,,Très bien,,,,,Très bien
195897,Pas terrible,Très bien,,Très bien,Très bien,Pas terrible,Chef-d'oeuvre,,,Chef-d'oeuvre,Très bien,,,,,,,Pas mal,,,,,,Pas mal,,,,,,,,,,,,Très bien,,,,,,Très bien,,,Chef-d'oeuvre,,Chef-d'oeuvre,Très bien,Très mauvais,Pas terrible,Pas mal,,,,,,,,,,,,,,,,Pas mal,Pas terrible,,,,Pas mal,,Très bien,,,Très bien,,,,Pas terrible,,,,,
209796,Pas mal,Pas mal,,Pas mal,Très mauvais,,,,,Pas mal,Très bien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Très mauvais,,,Très bien,,,Très mauvais,Très bien,Pas mal,,,,,,,Très bien,,,,,Pas terrible,,,,,,,,,,Très bien,,Pas terrible,,,Très bien,,,,Pas mal,,,,,Pas terrible
198853,,Pas mal,,Très bien,,Chef-d'oeuvre,,,,Pas mal,,,,,,,,,,,,,,,,Pas mal,,,,,,,,,,,,,,,,Très bien,,,Très mauvais,,,Très bien,,,Très bien,Chef-d'oeuvre,,,,,,,,,,Pas terrible,,,,,,,,,,Pas terrible,,,,,,,,,Pas mal,,,,,Pas terrible
213835,,Pas mal,,Pas mal,,,,,,Très mauvais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pas terrible,,,Très bien,,,Pas terrible,,,,,,,,,Chef-d'oeuvre,,,,,,,,,,Pas mal,Pas mal,,,,Très bien,,,,,,,,,Pas terrible,,,,,Très mauvais
222986,,Pas mal,,Pas mal,Très bien,,,,,Pas terrible,,,,,,,,,,,,,,,,Très bien,,,,,,,,,,,,,Pas mal,,,Très bien,,,,,,Pas terrible,,Très bien,,,,,,,,,,,,,Pas mal,,,,,,,,,Pas mal,,,,,Pas terrible,,,,Très bien,,,,,Pas mal
214017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209977,Très mauvais,Très bien,,Très bien,Chef-d'oeuvre,Très bien,Très bien,,,Très bien,Très bien,,,,,,,,,,,,,Chef-d'oeuvre,,,,,,,,,,,,Très bien,,,Pas mal,,,Chef-d'oeuvre,,,Pas mal,Chef-d'oeuvre,Très bien,Chef-d'oeuvre,,Pas terrible,Très bien,,,,,,Très mauvais,,Pas mal,,,,,,,,Très bien,,,,,Pas mal,,,,,Chef-d'oeuvre,,,,Très bien,,,,,Très bien
189440,,Très mauvais,,Très bien,,,,,,Pas terrible,,,,,,,,,,,,,,Très bien,,,,,,,,,,,,,,,Très bien,,,Pas terrible,,,Pas mal,,,Très mauvais,,Pas mal,,Très bien,,,,,Très bien,,,,,,,,,,,Pas terrible,,,,Pas mal,,,,,,,,,Pas mal,,,,,Pas mal
190410,Très mauvais,Chef-d'oeuvre,,Pas mal,Chef-d'oeuvre,,Très bien,,,,,,,,,,,Pas mal,,,,,,,,Très bien,,,,,,,,,,Pas mal,,,,,,Très bien,,,Pas terrible,,,Très bien,Pas mal,,Très bien,,,,,,Très mauvais,,Chef-d'oeuvre,,,,,,,,Pas mal,,,,,Pas terrible,,Très bien,,,Chef-d'oeuvre,,,,Très mauvais,,,,,
220518,Très bien,Très bien,,Très bien,Pas mal,,Pas mal,,,Très bien,Chef-d'oeuvre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Très bien,,,Pas mal,,,Pas mal,,Pas mal,,,,,,,Chef-d'oeuvre,,Très bien,,,Pas mal,,,,,,Pas mal,,,,Très bien,,,,,Très bien,,,,Très bien,,,,,Très bien
221375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183332,,Pas terrible,,Pas mal,,Pas terrible,,,,Pas mal,,,,,,,,,,,,,,,,Pas terrible,,,,,,,,,,,,,Pas terrible,,,,,,Très mauvais,,,,,,,Très bien,,,,,Pas mal,,,,,,,,Pas mal,,Pas mal,Pas terrible,,,,Pas terrible,,,,,,,,,Pas terrible,,,,,
202570,,Pas terrible,,Très mauvais,Très mauvais,,Très mauvais,,,Très mauvais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Très mauvais,,,Pas terrible,,,Pas terrible,,,,,,,,,,,,,,,,,,,Très mauvais,,,,,Pas terrible,,,,,,,,,Très mauvais,,,,,
219938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215353,,Très mauvais,,Très bien,,,,,,Très bien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pas mal,Chef-d'oeuvre,,Pas terrible,,,Très mauvais,,,,,,,,,,,,,,,,Pas terrible,,,,,Pas terrible,,,,,,,,,Pas mal,,,Très bien,,Pas mal
201635,,Très bien,,Pas mal,Chef-d'oeuvre,Pas mal,Très bien,,,Pas mal,,,,,,,,,,,,,,,,,,,,,,,,,,Très bien,,,,,,Pas mal,,,Très bien,,,Très mauvais,,,,,,,,,,,,,,,,,,,,,,,,Pas terrible,,Chef-d'oeuvre,,,Très bien,,,,Pas terrible,,,,,
195809,Pas terrible,Pas mal,,Pas mal,Pas mal,Pas terrible,Pas terrible,,,Très bien,,,,,,,,Pas mal,,,,,,,,,,,,,,,,,,Très bien,,,Pas mal,,,,,,Très bien,,,Pas terrible,,Pas mal,,,,,,,,,,,,,,,Très mauvais,,Très mauvais,,,,,Pas mal,,Très bien,,,,,,,Très bien,,,,,
206627,,Très bien,,Très bien,Chef-d'oeuvre,Pas mal,Pas mal,,,Très bien,,,,,,,,,,,,,,Chef-d'oeuvre,,,,,,,,,,,,,,,,,,Très bien,,,Très bien,,,Très bien,,Pas mal,,,,,,,,,Très bien,,,,,,,,Très mauvais,Pas mal,,,,Pas mal,,Très bien,,,,,,,Très bien,,,,,Pas mal
208334,Très bien,Très mauvais,,Pas mal,Pas mal,Pas mal,Très mauvais,Très bien,,Pas mal,,,,,,,,,,,,,,,,,,,,,,,,,,Chef-d'oeuvre,,,Pas terrible,,,Très bien,,,Très mauvais,,,Très mauvais,Très bien,Très mauvais,Pas mal,,,,,,,,,,,,,,,,Pas mal,Très bien,,,,Pas mal,,Pas terrible,,,Pas mal,,,,Pas terrible,,,,,Pas mal
180692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201826,,Très bien,,Chef-d'oeuvre,Très bien,Pas mal,Pas mal,,,Très bien,,,,,,,,,,,,,,,,,,,,,,,,,,Chef-d'oeuvre,,,Très bien,,,,,,Très bien,,,Chef-d'oeuvre,Chef-d'oeuvre,Très bien,,,,,,,,,Chef-d'oeuvre,,,,,,,,Pas mal,Pas mal,,,,Pas mal,,,,,Très bien,,,,Très bien,,,,,
181927,Très bien,Très bien,,Pas terrible,,Très bien,,,,Pas mal,Chef-d'oeuvre,,,,,,,,,,,,,,,,,,,,,,,,,,,,Très bien,,,Très bien,,,,,,Pas mal,,Pas mal,,,,,,,Pas mal,,,,,,,,,,,,,,,,,,,,,,,,Pas terrible,,,,,Pas mal
208247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206665,,Très bien,,Très bien,Chef-d'oeuvre,,Très bien,,,Très bien,,,,,,,,,,,,,,,,,,,,,,,,,,Très bien,,,,,,,,,Pas mal,,,Très bien,,,,,,,,,,,Très bien,,,,,,Très bien,,Chef-d'oeuvre,,,,,Très bien,,,,,Très bien,,,,Très bien,,,,,
210800,,Très bien,,Pas mal,Très bien,,Pas mal,,,Très bien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chef-d'oeuvre,,,Très bien,,,Très bien,,,Très bien,,,,,,,,Très mauvais,,,,,,,,,,,,,Très bien,,Très bien,,,Très bien,,,,Très bien,,,,,
197185,Pas mal,Pas mal,,Pas terrible,,Pas mal,,,,Pas mal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pas mal,,,Très bien,,,Pas mal,,,Pas mal,,Pas mal,,,,,,,Pas mal,,,,,,,,,,Pas mal,,,,,Pas terrible,,,,,Pas mal,,,,Pas mal,,,,,
190372,Très bien,Très bien,,Très bien,Pas mal,Pas terrible,Pas terrible,Pas mal,,Très bien,,,,,,,,Très bien,,,,,,,,,,,,,,,,,,,,,,,,Très bien,,,Très bien,,,,Pas mal,,,,,,,,,,Pas mal,,,,,,,,,Pas mal,,,,Pas mal,,,,,,,,,Très bien,,,,,
196676,Pas terrible,Pas mal,,Pas mal,Très mauvais,Très bien,,Très mauvais,,Pas mal,Très bien,,,,,,,,,,,,,Pas mal,,Chef-d'oeuvre,,,,,,,,,,,,,Pas mal,,,Très bien,,,Pas mal,Pas mal,,Très bien,,,,,,,,,,,Pas mal,,,Pas mal,,,Très bien,Pas mal,Pas mal,Très bien,,,,Pas mal,,,,,,,,,Pas mal,,,Très bien,,
186783,Pas mal,Très mauvais,,Pas terrible,,,,,,Pas mal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Très mauvais,,,,,,,Pas terrible,,,,,,,,,,Pas terrible,,,,,Pas mal,Très mauvais,,,,Pas terrible,,,,,,,,,Pas terrible,,,,,
204220,Très bien,Pas mal,,Pas mal,Pas terrible,,,,,Pas mal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Très bien,,,Très bien,,,Pas mal,,Pas mal,,,,,,,,,Très bien,,,,,,,,,,,,,Pas mal,,,,,,,,,Pas mal,,,,,
206624,,Pas terrible,,Pas mal,Pas mal,,Très mauvais,,,Très bien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pas terrible,,,Très bien,,,,,Pas mal,,,,,,,,,,,,,,,,,Pas mal,,,,,Très bien,,,,,Très bien,,,,Très bien,,,,,Pas mal
221242,Pas mal,Pas mal,,,Pas terrible,Pas mal,,,,Pas mal,,,,,,,,Très bien,,,,,,,,,,,,,,,,,,,,,Pas mal,,,Très bien,,,Très bien,,,Pas mal,,Très bien,,,,,,,Très bien,,Très bien,,,,,,,,,Pas terrible,,,,Très bien,,Pas mal,,,Pas mal,,,,Pas mal,,,,,Pas mal
219677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191049,,Très mauvais,,,,,,,,Très mauvais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Très mauvais,,Pas mal,Très mauvais,,,,,,,,,,,,Pas mal,,,,,Pas mal,,,,Pas terrible,,,,Pas terrible,Très mauvais,,,,,,,,,Pas mal
221357,,Pas mal,,Pas mal,,Chef-d'oeuvre,,,,Très bien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pas mal,,,Pas mal,,,Pas mal,,Très bien,,,,,,,,,Très bien,,,,,,,,,,,,,Pas terrible,,,,,,,,,Pas mal,,,,,Pas mal
207003,,Très bien,,Pas terrible,Pas terrible,,,,,Pas mal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pas mal,,,,Pas mal,Très bien,,Pas mal,,,,,Pas mal,,Pas mal,,,,,,,,Très bien,,,,,Pas mal,,,,,Très mauvais,,,,Pas terrible,,,,,
202973,Pas mal,Très bien,,Très bien,Très bien,,Très mauvais,,,Pas terrible,,,,,,,,Très bien,,,,,,,,Pas terrible,,,,,,,,,,,,,,,,Pas mal,,,Pas mal,,,Pas terrible,,,Pas terrible,,,,,,,,Pas terrible,,,Pas mal,,,,Pas terrible,Pas mal,Pas mal,,,,,,,,,Pas mal,,,,Pas mal,,,,,Pas mal
