identifiant,L'Express,Télérama,Brazil,Les Fiches du Cinéma,Les Inrockuptibles,Le Figaroscope,Cahiers du Cinéma,Le Point,Bande à part,Le Monde,20 Minutes,Télé Z,Ciné Live,So Film,La Septième Obsession,Le Quotidien de Paris,Chicago Sun-Times,Elle,BIBA,Télé Loisirs,Les Echos,Le Journal du Geek,Sud Ouest,Marianne,GQ,Metro,Le Figaro,Marie Claire,La Voix du Nord,Franceinfo Culture,Time Out Paris,France Soir,Obejctif-Cinema.com,La Tribune,Femme Actuelle,L'Obs,Gala,Télé Câble Sat,Ouest France,Abus de Ciné,L'Aurore,Positif,Impact,Konbini,TéléCinéObs,Mad Movies,Chronic'art.com,Critikat.com,Paris Match,La Croix,TF1 News,Télé 7 Jours,Rolling Stone,IGN France,Télé 2 semaines,Dvdrama,Le Parisien,Aden,L'Humanité,Courrier International,Closer,CinemaTeaser,Le Dauphiné Libéré,Filmsactu,Excessif,Charlie Hebdo,Ecran Large,Le Journal du Dimanche,VSD,Fantastikindia,Public,Première,LCI,Transfuge,Téléstar,CNews,Libération,Slate,Voici,Studio Magazine,Studio Ciné Live,Dernières Nouvelles d'Alsace,Le Soir,L'Ecran Fantastique,Culturopoing.com,aVoir-aLire.com
140623,Pas terrible,Très bien,Pas terrible,,Pas mal,Chef-d'oeuvre,Très mauvais,Très bien,,Pas mal,Chef-d'oeuvre,,,,,,,,,,,,,Très bien,,,,,,,,,,,,,,,Très bien,,,Pas mal,,,Pas mal,,,Très bien,,Pas mal,,Très bien,,,,,Très bien,,,,,,,Pas terrible,Pas mal,,,Pas mal,,,,Très bien,,,,,,,,,Pas mal,,,,,
143276,Pas terrible,Pas terrible,,,,Très bien,,,,Très mauvais,Pas mal,,,,,,,,,,,,,,,Très bien,,,,,,Pas mal,,,,,,,Pas terrible,,,,,,,,,,,,,Pas terrible,,,,,Pas terrible,,,,,,,Pas mal,Pas mal,,,Pas terrible,,,,,,,,,,,,,,,,,,
82376,Pas mal,Pas mal,Pas mal,,Pas mal,Chef-d'oeuvre,,Très bien,,Très bien,Très bien,,,,,,,,,,,,,,,Très bien,,,,,,,,,,Très bien,,,Très bien,,,Très bien,Très bien,,Pas mal,,,Très mauvais,,,,,,,,,,,,,,,,Pas mal,Chef-d'oeuvre,,,,,,,Très bien,,,,,Pas mal,,,,Pas terrible,,,,,
132406,Chef-d'oeuvre,Chef-d'oeuvre,,,,Très bien,Très bien,Chef-d'oeuvre,,Chef-d'oeuvre,,,,,,,,,,,,,,,,Chef-d'oeuvre,,,,,,,,,,Chef-d'oeuvre,,,Chef-d'oeuvre,,,Très bien,,,Très bien,,Pas mal,Chef-d'oeuvre,Très bien,Très bien,,Chef-d'oeuvre,,,,,Très bien,,,,,,,Chef-d'oeuvre,Chef-d'oeuvre,Chef-d'oeuvre,,Très bien,,,,Chef-d'oeuvre,,,,,Chef-d'oeuvre,,,,Chef-d'oeuvre,,,,,
172167,Pas mal,Très bien,Très bien,,Pas mal,Très bien,Très mauvais,Chef-d'oeuvre,,Pas mal,Très bien,,,,,,,Pas mal,,,,,,Très bien,,,,,,,,,,,,,,,Très bien,,,Très bien,,,Très bien,,,Très bien,Très bien,Très bien,,Chef-d'oeuvre,,,,,Chef-d'oeuvre,,Très bien,,,,,Très bien,Pas mal,,,Très bien,,,,,,,,,Pas terrible,,,,Pas mal,,,,,
182097,,Pas terrible,,,,,,Très bien,,Pas terrible,,,,,,,,,,,,,,,,Très bien,,,,,,,,,,Chef-d'oeuvre,,,Pas mal,,,,,,Pas terrible,,,Pas terrible,,Pas terrible,,,,,,,Pas terrible,,,,,,,Très bien,Très bien,,,Pas mal,,,,Très bien,,,,,,,,,Très mauvais,,,Très bien,,
132663,Chef-d'oeuvre,Pas terrible,Pas terrible,,Pas terrible,Pas mal,Très bien,Pas mal,,Chef-d'oeuvre,Chef-d'oeuvre,,,,,,,Très bien,,,,,,Pas terrible,,Chef-d'oeuvre,,,,,,,,,,Pas mal,,,Très bien,,,Chef-d'oeuvre,,,Pas mal,Pas terrible,Très bien,Pas terrible,Pas terrible,Très bien,,Très bien,,,,,Très bien,,Très bien,,,,,Pas mal,Pas terrible,Pas mal,,Chef-d'oeuvre,,,,,,,,,Très bien,,,,Chef-d'oeuvre,,,Pas mal,,
175305,Très bien,Pas mal,Très bien,,Pas terrible,Chef-d'oeuvre,Pas terrible,Chef-d'oeuvre,,Très bien,Très bien,,,,,,,Très bien,,,,,,Très bien,,Très bien,,,,,,,,,,Chef-d'oeuvre,,,Chef-d'oeuvre,,,Très bien,,,Très bien,,,Très mauvais,Chef-d'oeuvre,Très bien,,Chef-d'oeuvre,,,,,Chef-d'oeuvre,,,,,,,Chef-d'oeuvre,Très bien,,,Chef-d'oeuvre,,,,Très bien,,,,,Très bien,,,,Très bien,,,,,
174939,Pas mal,Pas terrible,Pas mal,,Pas terrible,Très bien,Très mauvais,Pas mal,,Très bien,Pas mal,,,,,,,,,,,,,,,Chef-d'oeuvre,,,,,,,,,,,,,Pas mal,,,Très bien,,,Pas terrible,,Très mauvais,Très mauvais,Très bien,Très bien,,Chef-d'oeuvre,,,,,Chef-d'oeuvre,,Pas mal,,,,,Chef-d'oeuvre,Pas mal,,,Pas mal,,,,Très bien,,,,,Pas terrible,,,,Pas mal,,,Très bien,,
140302,Pas terrible,Très mauvais,Très mauvais,,,,Très mauvais,,,Très mauvais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Très mauvais,,Très mauvais,Très mauvais,,,,,,,,,,,,,,,,,Pas mal,,,,,,,Pas mal,,,,,,,,,Très mauvais,,,Très bien,,
133340,,,,,,Pas mal,,,,Très mauvais,Très bien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Très mauvais,,,,,Pas terrible,,,,,,,,,Très bien,,,,,,,Très mauvais,Pas terrible,,,,,,,,,,,,Très mauvais,,,,Pas terrible,,,,,
121807,,,,,,Pas terrible,,Pas mal,,Très mauvais,,,,,,,,,,,,,,,,Pas terrible,,,,,,,,,,,,,Très mauvais,,,Très mauvais,,,Très mauvais,,,,,,,,,,,,,,,,,,,Pas mal,Très mauvais,,,Pas mal,,,,Très mauvais,,,,,,,,,Très mauvais,,,,,
142950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128955,Très mauvais,Pas mal,Pas mal,,Pas terrible,Pas mal,,Pas terrible,,Pas mal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pas mal,,,Pas terrible,,,Très mauvais,Très bien,,,,Très mauvais,,,,,,,Pas terrible,,Pas terrible,,,,,Très mauvais,Chef-d'oeuvre,Pas terrible,,,,,,,,,,,Pas terrible,,,,Pas terrible,,,Très bien,,
126693,,Pas terrible,,,Pas terrible,Très bien,,Chef-d'oeuvre,,Pas mal,,,,,,,,,,,,,,,,Très bien,,,,,,,,,,,,,Très bien,,,Très mauvais,,,,Très mauvais,,Pas mal,Pas mal,Très bien,,Pas mal,,,,,Pas mal,,,,,,,Chef-d'oeuvre,Très bien,,,Pas mal,,,,,,,,,Pas mal,,,,Pas mal,,,,,
140633,,Pas mal,Pas terrible,,Pas mal,Très bien,Très bien,Pas mal,,Pas mal,Pas mal,,,,,,,Pas terrible,,,,,,Pas mal,,Très bien,,,,,,,,,,Très bien,,,Pas mal,,,Chef-d'oeuvre,,,Très mauvais,Pas terrible,Pas terrible,Très mauvais,Pas mal,Pas terrible,,Pas terrible,,,,,Pas terrible,,,,,,,Pas terrible,Pas terrible,,,Pas terrible,,,,Très mauvais,,,,,Pas mal,,,,Très bien,,,Pas mal,,
129660,Pas mal,Pas mal,,,Très mauvais,Pas terrible,Très mauvais,Pas terrible,,Très mauvais,Pas mal,,,,,,,Pas mal,,,,,,Pas terrible,,Pas mal,,,,,,,,,,,,,Très bien,,,Pas mal,,,Pas mal,,Très mauvais,,Très bien,Pas mal,,Très bien,,,,Chef-d'oeuvre,Pas terrible,,Pas terrible,,,,,Pas mal,,,,Très bien,,,,Pas mal,,,,,Chef-d'oeuvre,,,,Très bien,,,,,
134196,Très mauvais,,,,Très mauvais,,Très mauvais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pas terrible,,,,,,,Pas mal,,Très mauvais,,,,,,,,,,,,,,,,Pas mal,,,,Pas terrible,,,,,,,,,,,,,Très mauvais,,,Pas terrible,,
144111,Pas terrible,Pas mal,,,Pas mal,Pas mal,Pas terrible,Pas mal,,Pas mal,Pas mal,,,,,,,Pas mal,,,,,,,,Pas mal,,,,,,,,,,,,,Pas mal,,,Très bien,,,Pas terrible,,Pas mal,Très mauvais,,,,Très bien,,,,,Très bien,,,,,,,,Pas mal,,,Pas mal,,,,Pas terrible,,,,,Pas terrible,,,,Pas mal,,,,,
130203,,Pas mal,,,Très bien,Chef-d'oeuvre,,,,Pas mal,,,,,,,,Pas mal,,,,,,,,,,,,,,,,,,Pas terrible,,,Très mauvais,,,,Pas mal,,Pas terrible,,Pas mal,Pas terrible,,,,Pas mal,,,,,Pas mal,,,,,,,,,,,Pas terrible,,,,Pas mal,,,,,Pas terrible,,,,Pas terrible,,,,,
185542,Très bien,Très bien,,,Très bien,,Pas mal,,,Pas terrible,Chef-d'oeuvre,,,,,,,,,,,,,,,Chef-d'oeuvre,,,,,,,,,,,,,,,,,,,Chef-d'oeuvre,Chef-d'oeuvre,,Très mauvais,Très bien,,,,,,,,Chef-d'oeuvre,,,,,,,Très bien,Chef-d'oeuvre,Très bien,,Chef-d'oeuvre,,,,Chef-d'oeuvre,,,,,,,,,Très bien,,,Chef-d'oeuvre,,
