identifiant,release,nationalite,date_sortie_dvd,date_sortie_bluray,date_sortie_vod,type_film,budget,langues,format_production,couleur,format_audio,format_projection,recompenses,num_visa,duration,genre1,genre2,genre3,director,press_rating,press_reviews,spectators_rating,spectators_reviews,L’Écran fantastique,Les Cahiers du cinéma,Cinemateaser,Les Inrocks,Mad Movies,Positif,Première,Télérama,Transfuge,À voir à lire,Bande à part,Critikat,Culturebox,Culturopoing,Ecran large,Filmsactu,Journal du geek,La Septième obsession,LCI,Les Fiches du cinéma,IGN France,20 minutes,Charlie Hebdo,CNews,Les Dernières Nouvelles d’Alsace,Les Echos,L’Humanité,La Croix,La Voix du nord,Le Dauphiné Libéré,Le Figaro,Le JDD,Le Monde,Le Parisien,Le Point,Libération,Marianne,Nouvel Obs,Ouest France,Sud-Ouest,Biba,Closer,Elle,Femme actuelle,GQ,Marie-Claire,Paris Match,Public,Rolling Stone,Télé 2 semaines,Télé 7 jours,Téléloisirs,Voici
185542,en salle,Corée du Sud,-,-,05/01/2014,Long métrage,-,Coréen,-,Couleur,-,-,1 prix et 7 nominations,129747,2h 22min,Drame,Thriller,,Kim Jee-Woon,"4,2",19,"4,3",6068,,,,,Chef-d'oeuvre,,Chef-d'oeuvre,Très bien,,,,,,,,Très bien,,,,,,,Très bien,,,,,,,,,,Pas terrible,Chef-d'oeuvre,,,,,,,,,,,,,Très bien,,,,,,
135523,en salle,U.S.A.,01/04/2011,01/04/2011,30/03/2011,Long métrage,260 000 000 USD,Anglais,-,Couleur,-,-,5 nominations,127844,1h 41min,Animation,Famille,,Byron Howard,"3,8",24,"4,2",30755,,,,,,Très bien,Très bien,Très bien,,,,,,,,Très bien,,,,,,,,,,,,,,,,,Pas mal,Chef-d'oeuvre,Pas mal,,,,Très bien,,,,Très bien,,,,Chef-d'oeuvre,,,,,,
147912,en salle,U.S.A.,30/11/2024,30/11/2024,01/01/2015,Long métrage,40 000 000 USD,Anglais,-,Couleur,-,-,13 prix et 22 nominations,127310,2h 00min,Drame,,,David Fincher,"4,4",27,"4,0",38918,,,,,,Chef-d'oeuvre,Chef-d'oeuvre,Chef-d'oeuvre,,,,,,,,Chef-d'oeuvre,,,,,,,Pas terrible,,,,,,,,,,Très bien,Chef-d'oeuvre,,Chef-d'oeuvre,Très bien,,Chef-d'oeuvre,,,,Très bien,,,,Très bien,,,,,,
148441,en salle,,28/09/2011,24/08/2010,25/07/2017,Long métrage,7 000 000 EUR,"ARABIC, Anglais, Français, Japonais, Mandarin, Espagnol",-,Couleur,-,-,3 prix et 10 nominations,123625,1h 45min,Comédie,Romance,,Pascal Chaumeil,"4,0",23,"3,8",40122,,,,,,Très bien,Très bien,Très bien,,,,,,,,Chef-d'oeuvre,,,,,,,,,,,,Pas terrible,,,,,,Chef-d'oeuvre,Chef-d'oeuvre,Pas mal,,,Très bien,,,,Très bien,,,,Très bien,,,,,,
182349,en salle,France,-,-,22/07/2011,Long métrage,-,Français,-,Couleur,-,-,1 prix et 5 nominations,125904,1h 25min,Policier,Drame,,Roschdy Zem,"3,3",27,"3,7",3840,,,,,,Très bien,Très bien,Pas mal,,,,,,,,Pas mal,,,,,,,,,,,,Pas mal,,,,,Pas mal,Très bien,Très bien,Pas mal,,,Très bien,,,,Pas mal,,,,Très bien,,,,,,
182603,en salle,U.S.A.,01/01/2012,25/10/2011,14/12/2013,Long métrage,1 500 000 USD,Anglais,-,Couleur,-,-,1 prix et 1 nomination,129760,1h 42min,Epouvante-horreur,,,James Wan,"3,2",23,"3,5",9767,,,,,Très bien,Pas mal,Pas mal,Pas terrible,,,,,,,,Très bien,,,,,,,Pas mal,,,,,,,,,,Pas mal,,Pas mal,Pas terrible,,,Pas mal,,,,,,,,Pas mal,,,,,,
145368,en salle,U.S.A.,-,-,01/08/2018,Long métrage,117 000 000 USD,"Anglais, Allemand, Espagnol",-,Couleur,-,-,,-,1h 40min,Action,Comédie,,James Mangold,"2,9",16,"3,0",18417,,,,,,,Pas mal,Pas mal,,,,,,,,,,,,,,,,,,,,Pas mal,,,,,Pas mal,Pas mal,Pas terrible,Pas terrible,,,Très bien,,,,,,,,,,,,,,
179625,en salle,France,-,15/03/2011,01/02/2016,Long métrage,500 000 USD,Anglais,-,Couleur,-,-,5 nominations,124473,1h 25min,Comédie,Epouvante-horreur,,Quentin Dupieux,"3,2",22,"3,2",3827,,,,,Très bien,Pas mal,Pas mal,Pas mal,,,,,,,,,,,,,,,,,,,,,,,,,Pas terrible,Très bien,,Pas mal,,,Très bien,,,,Très bien,,,,Pas terrible,,,,,,
145213,en salle,U.S.A.,23/06/2011,14/01/2013,15/10/2017,Long métrage,38 000 000 USD,Anglais,-,Couleur,-,-,2 prix et 27 nominations,128343,1h 50min,Aventure,Drame,Western,Ethan Coen,"4,0",29,"3,9",19952,,,,,,Chef-d'oeuvre,Très bien,Chef-d'oeuvre,,,,,,,,Chef-d'oeuvre,,,,,,,Chef-d'oeuvre,,,,,Très bien,,,,,Chef-d'oeuvre,Très bien,Très bien,Pas mal,Très bien,,Très bien,,,,,,,,Chef-d'oeuvre,,,,,,
128105,en salle,U.S.A.,15/07/2010,-,01/06/2015,Long métrage,95 000 000 USD,Anglais,-,Couleur,-,-,,124726,2h 02min,Aventure,Fantastique,,Chris Columbus,"2,5",12,"2,6",22031,,,,,Pas mal,,,Pas mal,,,,,,,,Très mauvais,,,,,,,,,,,,Très bien,,,,,,,,Très bien,,,Pas terrible,,,,,,,,,,,,,,
147940,en salle,Espagne,01/12/2024,-,21/07/2019,Long métrage,3 000 000 USD,Anglais,-,Couleur,-,-,4 prix et 10 nominations,127836,1h 35min,Thriller,,,Rodrigo Cortés,"3,6",23,"3,4",7159,,,,,Chef-d'oeuvre,,Très bien,Pas mal,,,,,,,,,,,,,,,,,,,,,,,,,Très bien,Très bien,,Chef-d'oeuvre,,,Chef-d'oeuvre,,,,,,,,,,,,,,
182894,en salle,France,-,-,21/09/2011,Long métrage,-,Français,-,Couleur,-,-,,126472,1h 38min,Comédie,Comédie dramatique,,Jennifer Devoldere,"2,4",16,"2,8",1780,,,,,,Pas terrible,Pas mal,Pas terrible,,,,,,,,,,,,,,,,,,,,Pas terrible,,,,,,Très bien,Pas terrible,,,,Pas mal,,,,,,,,,,,,,,
129660,en salle,,12/11/2014,-,30/08/2018,Long métrage,-,Français,-,Couleur,-,-,2 prix et 4 nominations,118706,1h 30min,Comédie,Famille,,Laurent Tirard,"2,9",26,"2,8",10128,,,,,,Pas mal,Pas mal,Pas mal,,,,,,,,Pas mal,,,,,,,,,,,,Pas mal,,,,,Très mauvais,Pas terrible,Pas terrible,Chef-d'oeuvre,Pas terrible,,Très bien,,,,Pas mal,,,,Très bien,,,,,,
176961,en salle,,04/07/2012,-,01/04/2012,Long métrage,-,Anglais,-,Couleur,-,-,5 nominations,129810,1h 28min,Comédie,Epouvante-horreur,,Eli Craig,"3,7",19,"3,8",5165,,,,,Très bien,,Pas mal,Pas mal,,,,,,,,Très bien,,,,,,,Chef-d'oeuvre,,,,,,,,,,Pas mal,Pas mal,,,,,Très bien,,,,,,,,Très bien,,,,,,
130964,en salle,France,01/12/2024,-,01/02/2016,Long métrage,-,Français,-,Couleur,-,-,,124144,1h 30min,Action,Policier,Thriller,Julien Leclercq,"2,8",24,"3,4",4317,,,,,,Pas mal,Pas mal,Très mauvais,,,,,,,,Pas terrible,,,,,,,,,,,,Pas terrible,,,,,Très mauvais,Pas mal,Très bien,Très bien,,,Pas mal,,,,,,,,Très bien,,,,,,
171087,en salle,France,-,-,26/09/2017,Long métrage,10 000 000 EUR,Français,-,Couleur,-,-,1 prix et 5 nominations,123442,1h 51min,Drame,,,Gilles Paquet-Brenner,"3,3",23,"4,0",3802,,,,,,Pas mal,Pas terrible,Très bien,,,,,,,,Pas mal,,,,,,,,,,,,,,,,,Pas mal,Chef-d'oeuvre,Pas mal,Très mauvais,,,Très bien,,,,Très bien,,,,Très bien,,,,,,
127950,en salle,U.S.A.,18/08/2010,07/04/2010,30/11/2011,Long métrage,125 000 000 USD,Anglais,35mm,Couleur,"Dolby Digital, DTS, SDDS",2.35 : 1 Cinemascope,3 nominations,125924,1h 46min,Action,Aventure,Fantastique,Louis Leterrier,"2,9",14,"2,3",27068,,,,,Pas terrible,Très bien,,,,,,,,,,Pas mal,,,,,,,,,,,,,,,,,Pas mal,Pas mal,,Très mauvais,,,Pas terrible,,,,,,,,,,,,,,
133757,en salle,France,-,-,20/03/2019,Long métrage,-,"Anglais, Français, Russe",35mm,Couleur et N&B,"Dolby Digital, DTS",2.35 : 1 Cinemascope,7 prix et 8 nominations,-,2h 10min,Biopic,Musical,,Joann Sfar,"3,9",26,"3,6",7721,,,,,,Pas mal,Pas mal,Pas mal,,,,,,,,Très mauvais,,,,,,,,,,,,Pas mal,,,,,Très bien,Chef-d'oeuvre,Chef-d'oeuvre,Pas mal,Pas mal,,Très bien,,,,Très bien,,,,Très bien,,,,,,
56826,en salle,France,-,-,30/11/2011,Long métrage,-,"ARABIC, Français",35mm,Couleur,Dolby Digital,2.35 : 1 Cinemascope,7 prix et 19 nominations,122766,2h 00min,Drame,,,Xavier Beauvois,"4,1",24,"3,4",6874,,,,,,Très bien,Chef-d'oeuvre,Pas terrible,,,,,,,,Très bien,,,,,,,,,,,,,,,,,Très bien,Chef-d'oeuvre,,Très bien,Chef-d'oeuvre,,,,,,Très bien,,,,Chef-d'oeuvre,,,,,,
172762,en salle,France,09/03/2011,09/03/2011,22/10/2019,Long métrage,-,Français,35mm,Couleur,Dolby Digital,2.35 : 1 Cinemascope,6 nominations,-,1h 55min,Drame,Thriller,,Eric Lartigau,"3,8",22,"3,2",5391,,,,,,Très bien,Très bien,Pas mal,,,,,,,,,,,,,,,,,,,,,,,,,Très bien,Chef-d'oeuvre,Très bien,Très bien,,,Très bien,,,,Très bien,,,,Très bien,,,,,,
133139,en salle,France,01/12/2024,15/09/2010,25/11/2019,Long métrage,18 000 000 EUR,"Anglais, Français",-,Couleur,-,-,1 prix et 7 nominations,123144,1h 55min,Policier,,,Richard Berry,"2,4",21,"3,3",5748,,,,,,Très mauvais,Pas mal,Pas terrible,,,,,,,,,,,,,,,,,,,,Pas terrible,,,,,Très mauvais,,Chef-d'oeuvre,Très mauvais,,,Très bien,,,,Très bien,,,,,,,,,,
147203,en salle,U.S.A.,-,-,01/08/2018,Long métrage,-,Anglais,-,Couleur,-,-,2 nominations,506003,1h 52min,Comédie,Romance,,Edward Zwick,"2,2",11,"3,1",6079,,,,,,Pas terrible,Pas mal,Très mauvais,,,,,,,,,,,,,,,,,,,,,,,,,Pas terrible,Très mauvais,,,,,,,,,,,,,,,,,,,
133917,en salle,France,30/11/2024,24/11/2010,01/01/2015,Long métrage,31 000 000 EUR,Français,35mm,Couleur,"Dolby Digital, DTS",2.35 : 1 Cinemascope,1 prix et 6 nominations,123 765,1h 47min,Aventure,Policier,,Luc Besson,"2,8",25,"2,4",10252,,,,,Pas terrible,Très bien,,Pas mal,,,,,,,,Très mauvais,,,,,,,,,,,,Pas terrible,,,,,Pas mal,Très bien,Pas terrible,Très bien,,,Très bien,,,,,,,,Pas mal,,,,,,
138730,en salle,,01/12/2024,-,01/10/2021,Long métrage,30 000 000 USD,Anglais,-,Couleur,-,-,2 prix et 2 nominations,126096,1h 57min,Action,Comédie,Policier,Matthew Vaughn,"3,5",26,"4,0",44700,,,,,,,Très bien,Pas mal,,,,,,,,Chef-d'oeuvre,,,,,,,,,,,,,,,,,Pas mal,Pas mal,Pas terrible,Très bien,,,Pas terrible,,,,Pas mal,,,,,,,,,,
147087,en salle,,27/04/2011,27/04/2011,01/10/2021,Long métrage,35 000 000 USD,Anglais,-,Couleur,-,-,,127707,2h 13min,Action,Thriller,,Paul Haggis,"2,9",21,"3,7",3610,,,,,,Pas terrible,Pas terrible,Pas terrible,,,,,,,,Pas mal,,,,,,,,,,,,Très bien,,,,,Pas terrible,Très bien,Pas mal,,,,Très bien,,,,Pas mal,,,,,,,,,,
129345,en salle,U.S.A.,01/12/2024,01/12/2024,01/06/2015,Long métrage,100 000 000 USD,Anglais,-,Couleur,-,-,2 nominations,127082,1h 35min,Action,Thriller,,Tony Scott,"3,0",20,"3,1",5105,,,,,,Pas mal,Pas mal,Pas terrible,,,,,,,,,,,,,,,,,,,,,,,,,Pas mal,Très bien,,Pas terrible,,,Pas terrible,,,,Très bien,,,,Très bien,,,,,,
